Local time,Open,High,Low,Close,Volume
23.05.2022 01:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
23.05.2022 02:30:00.000 GMT+0430,31347.719,31433.999,31347.719,31426.999,0.2145
23.05.2022 03:30:00.000 GMT+0430,31426.697,31485.497,31426.269,31480.259,0.2363
23.05.2022 04:30:00.000 GMT+0430,31480.267,31519.497,31439.239,31503.249,0.3315
23.05.2022 05:30:00.000 GMT+0430,31503.277,31524.279,31447.999,31456.299,0.3074
23.05.2022 06:30:00.000 GMT+0430,31456.287,31466.999,31373.219,31408.239,0.288
23.05.2022 07:30:00.000 GMT+0430,31408.709,31448.499,31401.709,31432.749,0.2333
23.05.2022 08:30:00.000 GMT+0430,31433.759,31481.789,31428.499,31440.699,0.1571
23.05.2022 09:30:00.000 GMT+0430,31442.249,31551.767,31427.209,31510.197,0.2919
23.05.2022 10:30:00.000 GMT+0430,31509.259,31601.499,31492.729,31593.789,0.2733
23.05.2022 11:30:00.000 GMT+0430,31595.219,31606.797,31488.009,31531.009,0.4771
23.05.2022 12:30:00.000 GMT+0430,31531.017,31578.097,31347.589,31387.499,0.4793
23.05.2022 13:30:00.000 GMT+0430,31389.519,31473.589,31344.019,31415.559,0.3658
23.05.2022 14:30:00.000 GMT+0430,31416.579,31603.547,31408.099,31596.019,0.3285
23.05.2022 15:30:00.000 GMT+0430,31597.029,31609.577,31502.519,31564.529,1.9559
23.05.2022 16:30:00.000 GMT+0430,31564.599,31611.299,31528.089,31550.499,1.8532
23.05.2022 17:30:00.000 GMT+0430,31551.069,31683.779,31479.759,31589.239,4.1342
23.05.2022 18:30:00.000 GMT+0430,31591.259,31779.299,31472.239,31743.257,5.8734
23.05.2022 19:30:00.000 GMT+0430,31742.777,31960.769,31712.709,31916.699,4.9856
23.05.2022 20:30:00.000 GMT+0430,31917.739,31961.259,31815.229,31869.729,4.149
23.05.2022 21:30:00.000 GMT+0430,31871.719,31916.769,31744.759,31905.999,4.0616
23.05.2022 22:30:00.000 GMT+0430,31905.697,31952.759,31853.759,31863.729,4.1495
23.05.2022 23:30:00.000 GMT+0430,31863.787,31928.799,31748.209,31884.229,4.6891
24.05.2022 00:30:00.000 GMT+0430,31884.287,31941.799,31874.199,31889.709,0.4966
24.05.2022 01:30:00.000 GMT+0430,31889.709,31889.709,31889.709,31889.709,0
24.05.2022 02:30:00.000 GMT+0430,31789.249,31825.289,31689.269,31778.739,0.3587
24.05.2022 03:30:00.000 GMT+0430,31779.219,31808.499,31747.719,31795.219,0.2172
24.05.2022 04:30:00.000 GMT+0430,31795.287,31810.789,31746.749,31763.239,0.3021
24.05.2022 05:30:00.000 GMT+0430,31764.269,31794.749,31726.499,31762.779,0.3203
24.05.2022 06:30:00.000 GMT+0430,31764.239,31767.497,31722.699,31745.769,0.2252
24.05.2022 07:30:00.000 GMT+0430,31745.767,31753.497,31720.719,31747.709,0.155
24.05.2022 08:30:00.000 GMT+0430,31747.717,31753.269,31691.759,31700.779,0.1292
24.05.2022 09:30:00.000 GMT+0430,31700.717,31719.279,31612.739,31625.749,0.2855
24.05.2022 10:30:00.000 GMT+0430,31625.997,31659.779,31576.259,31616.299,0.2521
24.05.2022 11:30:00.000 GMT+0430,31616.209,31683.299,31544.009,31627.519,0.4569
24.05.2022 12:30:00.000 GMT+0430,31627.557,31641.599,31533.079,31543.569,0.3408
24.05.2022 13:30:00.000 GMT+0430,31544.029,31642.799,31540.029,31626.499,0.2573
24.05.2022 14:30:00.000 GMT+0430,31626.537,31679.089,31596.599,31647.079,0.2335
24.05.2022 15:30:00.000 GMT+0430,31647.029,31725.079,31647.029,31671.039,1.5993
24.05.2022 16:30:00.000 GMT+0430,31671.047,31730.549,31625.529,31706.079,1.7225
24.05.2022 17:30:00.000 GMT+0430,31706.077,31767.789,31634.299,31688.199,3.6877
24.05.2022 18:30:00.000 GMT+0430,31688.197,31714.289,31359.699,31458.499,5.2803
24.05.2022 19:30:00.000 GMT+0430,31458.217,31663.499,31387.209,31610.789,4.9053
24.05.2022 20:30:00.000 GMT+0430,31610.717,31760.999,31545.259,31633.739,4.7228
24.05.2022 21:30:00.000 GMT+0430,31633.747,31772.499,31529.709,31740.739,4.7066
24.05.2022 22:30:00.000 GMT+0430,31740.759,31878.749,31663.729,31715.739,4.799
24.05.2022 23:30:00.000 GMT+0430,31715.737,32015.999,31706.739,31946.709,5.1639
25.05.2022 00:30:00.000 GMT+0430,31950.749,31995.299,31935.219,31974.277,0.7634
25.05.2022 01:30:00.000 GMT+0430,31974.277,31974.277,31974.277,31974.277,0
25.05.2022 02:30:00.000 GMT+0430,31983.729,32053.499,31983.729,32029.749,0.1807
